REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
New Mexico,2010,44,X,2.37983,151,20,6345
New York,2010,44,X,0.527357,80,104,15170
North Carolina,2010,44,X,0.649925,169,70,26003
North Dakota,2010,44,X,0.713749,38,19,5324
Ohio,2010,44,X,0.831798,149,48,17913
Oklahoma,2010,44,X,1.62845,49,15,3009
Oregon,2010,44,X,0.764895,57,22,7452
Pennsylvania,2010,44,X,0.991455,181,66,18256
Rhode Island,2010,44,X,0.530256,34,21,6412
South Carolina,2010,44,X,0.44531,32,22,7186
South Dakota,2010,44,X,0.779833,43,19,5514
Tennessee,2010,44,X,0.528096,64,51,12119
Texas,2010,44,X,2.36381,1218,99,51527
Utah,2010,44,X,0.651859,54,23,8284
Vermont,2010,44,X,1.25276,34,10,2714
Virginia,2010,44,X,1.26547,729,84,57607
Washington,2010,44,X,0.78637,24,15,3052
West Virginia,2010,44,X,1.83986,196,34,10653
Wisconsin,2010,44,X,1.09649,60,49,5472
Wyoming,2010,44,X,0.566636,25,28,4412
New York City,2010,44,X,1.51508,1325,42,87454
Alabama,2010,45,X,3.46224,419,34,12102
Alaska,2010,45,X,0.951904,19,8,1996
Arizona,2010,45,X,0.945337,239,54,25282
Arkansas,2010,45,X,1.19736,58,17,4844
California,2010,45,X,2.74562,906,126,32998
Colorado,2010,45,X,0.719015,139,12,19332
Connecticut,2010,45,X,0.319562,14,19,4381
Delaware,2010,45,X,0.79466,25,12,3146
District of Columbia,2010,45,X,2.32951,69,4,2962
Florida,2010,45,X,X,X,X,X
Georgia,2010,45,X,3.41305,1390,62,40726
Hawaii,2010,45,X,1.17429,19,18,1618
Idaho,2010,45,X,1.49434,62,13,4149
Illinois,2010,45,X,1.55392,651,80,41894
Indiana,2010,45,X,0.752055,97,43,12898
Iowa,2010,45,X,0.41866,21,10,5016
Kansas,2010,45,X,0.724993,74,43,10207
Kentucky,2010,45,X,0.222995,34,15,15247
Louisiana,2010,45,X,2.08577,463,44,22198
Maine,2010,45,X,0.356622,22,31,6169
Maryland,2010,45,X,1.42159,128,21,9004
Massachusetts,2010,45,X,0.732931,187,54,25514
Michigan,2010,45,X,0.806639,139,53,17232
Minnesota,2010,45,X,0.82012,45,16,5487
Mississippi,2010,45,X,3.93095,649,44,16510
Missouri,2010,45,X,1.22374,106,31,8662
Montana,2010,45,X,0.243902,6,6,2460
Nebraska,2010,45,X,2.96108,105,16,3546
Nevada,2010,45,X,0.805239,75,33,9314
New Hampshire,2010,45,X,0.304414,16,29,5256
New Jersey,2010,45,X,2.2031,169,25,7671
New Mexico,2010,45,X,2.3776,186,24,7823
New York,2010,45,X,0.504756,78,105,15453
North Carolina,2010,45,X,0.476862,115,72,24116
North Dakota,2010,45,X,0.75811,43,18,5672
Ohio,2010,45,X,0.51801,86,44,16602
Oklahoma,2010,45,X,2.57453,76,16,2952
Oregon,2010,45,X,0.775305,54,20,6965
Pennsylvania,2010,45,X,1.03377,184,63,17799
Rhode Island,2010,45,X,0.477403,30,21,6284
South Carolina,2010,45,X,0.5111,32,21,6261
South Dakota,2010,45,X,0.743424,39,18,5246
Tennessee,2010,45,X,0.593704,76,53,12801
Texas,2010,45,X,2.51778,1310,97,52030
Utah,2010,45,X,0.6639,40,16,6025
Vermont,2010,45,X,1.12705,33,11,2928
Virginia,2010,45,X,1.41165,888,88,62905
Washington,2010,45,X,1.06724,40,18,3748
West Virginia,2010,45,X,2.06875,201,34,9716
Wisconsin,2010,45,X,1.03383,55,46,5320
Wyoming,2010,45,X,0.463336,23,27,4964
New York City,2010,45,X,1.73829,1557,42,89571
Alabama,2010,46,X,3.53248,434,33,12286
Alaska,2010,46,X,0.962567,18,7,1870
Arizona,2010,46,X,1.09665,284,55,25897
Arkansas,2010,46,X,1.55462,74,18,4760
California,2010,46,X,2.81963,1020,131,36175
Colorado,2010,46,X,0.696032,137,9,19683
Connecticut,2010,46,X,0.618847,22,19,3555
Delaware,2010,46,X,0.390879,12,11,3070
District of Columbia,2010,46,X,1.5844,52,4,3282
Florida,2010,46,X,X,X,X,X
Georgia,2010,46,X,4.55518,1938,62,42545
Hawaii,2010,46,X,1.31204,23,18,1753
Idaho,2010,46,X,1.95882,98,13,5003
Illinois,2010,46,X,1.63242,661,79,40492
Indiana,2010,46,X,0.820837,104,42,12670
Iowa,2010,46,X,0.484206,21,9,4337
Kansas,2010,46,X,0.595801,63,44,10574
Kentucky,2010,46,X,0.46321,78,15,16839
